l        NeAuChannel[l]  NeAuEnergyMeV[l]
4        2170            49.9538        
5        2022            50.0942        
6        2027            49.5119        
8        2072            50.2604        
9        2017            50.2606        
10       2075            49.3928        
11       2010            49.8089        
12       2046            49.5025        
13       2170            49.8685        
15       2095            50.3582        
